God	Time	Kills	Deaths	Assists
Agni	5	0.13	0.17	0.13
Agni	10	0.13	0.20	0.15
Agni	20	0.14	0.25	0.20
Agni	30	0.16	0.24	0.22
Agni	40	0.17	0.24	0.21
Ah Muzen Cab	5	0.15	0.10	0.10
Ah Muzen Cab	10	0.17	0.12	0.12
Ah Muzen Cab	20	0.21	0.15	0.17
Ah Muzen Cab	30	0.24	0.17	0.23
Ah Muzen Cab	40	0.20	0.19	0.21
Anhur	5	0.17	0.09	0.06
Anhur	10	0.17	0.14	0.10
Anhur	20	0.17	0.23	0.17
Anhur	30	0.22	0.18	0.22
Anhur	40	0.17	0.17	0.21
Anubis	5	0.13	0.15	0.09
Anubis	10	0.17	0.18	0.12
Anubis	20	0.26	0.23	0.18
Anubis	30	0.20	0.25	0.23
Anubis	40	0.29	0.23	0.25
Ao Kuang	5	0.10	0.15	0.06
Ao Kuang	10	0.14	0.16	0.10
Ao Kuang	20	0.24	0.19	0.19
Ao Kuang	30	0.21	0.21	0.19
Ao Kuang	40	0.22	0.19	0.19
Aphrodite	5	0.05	0.13	0.08
Aphrodite	10	0.07	0.14	0.15
Aphrodite	20	0.12	0.17	0.29
Aphrodite	30	0.12	0.18	0.34
Aphrodite	40	0.13	0.18	0.34
Apollo	5	0.16	0.16	0.13
Apollo	10	0.18	0.17	0.15
Apollo	20	0.21	0.20	0.19
Apollo	30	0.19	0.20	0.23
Apollo	40	0.21	0.23	0.23
Arachne	5	0.14	0.13	0.10
Arachne	10	0.17	0.16	0.14
Arachne	20	0.23	0.22	0.22
Arachne	30	0.22	0.22	0.24
Arachne	40	0.23	0.24	0.24
Ares	5	0.13	0.16	0.12
Ares	10	0.13	0.18	0.18
Ares	20	0.13	0.22	0.29
Ares	30	0.18	0.20	0.36
Ares	40	0.14	0.20	0.32
Artemis	5	0.15	0.11	0.09
Artemis	10	0.17	0.15	0.13
Artemis	20	0.20	0.23	0.20
Artemis	30	0.17	0.22	0.21
Artemis	40	0.23	0.23	0.23
Athena	5	0.07	0.12	0.12
Athena	10	0.09	0.14	0.19
Athena	20	0.11	0.18	0.31
Athena	30	0.11	0.16	0.37
Athena	40	0.10	0.15	0.38
Bacchus	5	0.04	0.19	0.12
Bacchus	10	0.06	0.19	0.18
Bacchus	20	0.10	0.17	0.28
Bacchus	30	0.11	0.11	0.32
Bacchus	40	0.10	0.12	0.29
Bakasura	5	0.27	0.19	0.07
Bakasura	10	0.27	0.19	0.10
Bakasura	20	0.25	0.19	0.18
Bakasura	30	0.27	0.21	0.21
Bakasura	40	0.29	0.20	0.17
Bastet	5	0.18	0.15	0.06
Bastet	10	0.19	0.16	0.10
Bastet	20	0.21	0.20	0.16
Bastet	30	0.21	0.22	0.18
Bastet	40	0.25	0.19	0.16
Chaac	5	0.07	0.12	0.07
Chaac	10	0.11	0.12	0.11
Chaac	20	0.21	0.12	0.20
Chaac	30	0.20	0.18	0.26
Chaac	40	0.22	0.17	0.25
Chang'e	5	0.16	0.11	0.10
Chang'e	10	0.16	0.13	0.14
Chang'e	20	0.18	0.18	0.21
Chang'e	30	0.16	0.19	0.31
Chang'e	40	0.18	0.19	0.27
Chronos	5	0.06	0.12	0.03
Chronos	10	0.07	0.15	0.08
Chronos	20	0.10	0.20	0.17
Chronos	30	0.18	0.24	0.28
Chronos	40	0.24	0.21	0.25
Cupid	5	0.14	0.15	0.10
Cupid	10	0.17	0.16	0.12
Cupid	20	0.24	0.19	0.16
