God	Time	Kills	Deaths	Assists	Player-Dam	Dam-Taken	Gold	Creep-Dam	Struct-Dam	Healing
Agni	5	0.13	0.17	0.13	280.19	377.77	441.09	1659.09	21.69	0.10
Agni	10	0.13	0.20	0.15	330.42	438.44	423.61	1581.07	23.76	0.10
Agni	20	0.14	0.25	0.20	430.88	559.78	388.66	1425.03	27.91	0.10
Agni	30	0.16	0.24	0.22	551.43	632.26	399.01	1647.69	44.33	0.78
Agni	40	0.17	0.24	0.21	729.80	702.86	400.09	1812.80	28.79	0.13
Ah Muzen Cab	5	0.15	0.10	0.10	296.53	342.97	444.04	1703.42	57.54	0.14
Ah Muzen Cab	10	0.17	0.12	0.12	377.33	416.38	442.81	1930.45	65.96	0.14
Ah Muzen Cab	20	0.21	0.15	0.17	538.91	563.21	440.35	2384.52	82.81	0.12
Ah Muzen Cab	30	0.24	0.17	0.23	734.49	674.79	440.31	2520.32	88.80	0.78
Ah Muzen Cab	40	0.20	0.19	0.21	707.16	700.67	422.38	2488.27	92.98	0.10
Anhur	5	0.17	0.09	0.06	278.12	337.19	424.00	1411.68	33.50	0.10
Anhur	10	0.17	0.14	0.10	308.70	424.96	413.77	1464.74	36.90	0.10
Anhur	20	0.17	0.23	0.17	369.87	600.49	393.32	1570.85	43.71	0.79
Anhur	30	0.22	0.18	0.22	519.40	723.17	424.33	2095.66	74.78	0.10
Anhur	40	0.17	0.17	0.21	518.22	720.37	398.34	1848.24	84.84	0.10
Anubis	5	0.13	0.15	0.09	190.17	268.10	444.22	1566.23	33.53	0.10
Anubis	10	0.17	0.18	0.12	295.92	346.97	437.48	1600.36	34.40	0.10
Anubis	20	0.26	0.23	0.18	507.42	504.73	424.01	1668.64	36.14	0.10
Anubis	30	0.20	0.25	0.23	563.08	627.65	412.32	1828.90	36.20	0.10
Anubis	40	0.29	0.23	0.25	880.61	724.43	441.40	2213.15	45.04	0.10
Ao Kuang	5	0.10	0.15	0.06	175.01	279.07	442.14	1761.37	13.33	0.10
Ao Kuang	10	0.14	0.16	0.10	302.12	346.04	442.13	1818.46	26.11	0.08
Ao Kuang	20	0.24	0.19	0.19	556.33	479.99	442.11	1932.64	51.68	0.55
Ao Kuang	30	0.21	0.21	0.19	685.73	585.65	429.34	2071.60	51.36	0.25
Ao Kuang	40	0.22	0.19	0.19	793.95	640.92	431.46	2263.03	45.49	0.16
Aphrodite	5	0.05	0.13	0.08	80.05	310.98	388.81	1033.19	14.19	109.45
Aphrodite	10	0.07	0.14	0.15	192.44	439.56	392.81	1176.83	19.76	153.65
Aphrodite	20	0.12	0.17	0.29	417.22	696.73	400.82	1464.12	30.90	242.04
Aphrodite	30	0.12	0.18	0.34	461.14	767.70	402.32	1502.89	30.89	389.10
Aphrodite	40	0.13	0.18	0.34	566.29	922.43	398.51	1564.20	29.85	434.17
Apollo	5	0.16	0.16	0.13	248.36	392.55	423.40	1345.35	35.68	0.10
Apollo	10	0.18	0.17	0.15	298.40	468.65	417.54	1395.29	49.14	0.10
Apollo	20	0.21	0.20	0.19	398.47	620.86	405.82	1495.16	76.07	0.57
Apollo	30	0.19	0.20	0.23	497.07	735.98	413.05	1949.71	82.30	0.23
Apollo	40	0.21	0.23	0.23	625.59	864.56	409.81	2034.30	74.20	1.65
Arachne	5	0.14	0.13	0.10	198.92	405.42	444.21	1442.29	8.65	0.10
Arachne	10	0.17	0.16	0.14	267.19	491.55	433.77	1435.93	18.64	0.10
Arachne	20	0.23	0.22	0.22	403.71	663.81	412.90	1423.19	38.62	0.47
Arachne	30	0.22	0.22	0.24	450.26	734.01	407.98	1510.29	33.73	0.10
Arachne	40	0.23	0.24	0.24	519.18	820.16	404.75	1679.96	40.95	1.73
Ares	5	0.13	0.16	0.12	188.27	382.92	390.27	420.52	13.38	2.58
Ares	10	0.13	0.18	0.18	247.00	484.31	388.36	525.16	15.51	1.94
Ares	20	0.13	0.22	0.29	364.47	687.09	384.53	734.43	19.75	0.66
Ares	30	0.18	0.20	0.36	545.85	805.46	399.43	778.54	23.13	0.10
Ares	40	0.14	0.20	0.32	514.12	815.86	399.14	850.92	20.07	0.10
Artemis	5	0.15	0.11	0.09	316.39	357.30	414.44	1282.21	43.63	0.63
Artemis	10	0.17	0.15	0.13	371.16	429.02	409.34	1296.37	52.75	0.58
Artemis	20	0.20	0.23	0.20	480.70	572.48	399.14	1324.69	71.00	0.47
Artemis	30	0.17	0.22	0.21	560.48	647.46	402.72	1642.91	75.90	0.88
Artemis	40	0.23	0.23	0.23	710.47	738.05	409.12	1771.12	63.00	0.15
Athena	5	0.07	0.12	0.12	147.48	405.33	402.06	856.33	6.29	0.10
Athena	10	0.09	0.14	0.19	192.02	509.71	400.04	912.52	11.20	0.10
Athena	20	0.11	0.18	0.31	281.10	718.49	396.00	1024.90	21.03	1.56
Athena	30	0.11	0.16	0.37	391.25	859.08	393.55	1111.75	17.87	1.83
Athena	40	0.10	0.15	0.38	408.75	954.74	394.72	1122.10	18.02	1.78
Bacchus	5	0.04	0.19	0.12	152.20	427.77	347.70	660.60	2.09	0.10
Bacchus	10	0.06	0.19	0.18	194.87	497.93	362.68	692.60	5.85	0.10
Bacchus	20	0.10	0.17	0.28	280.20	638.26	392.63	756.60	13.38	0.10
Bacchus	30	0.11	0.11	0.32	303.40	750.70	399.65	748.81	10.57	0.10
